FECHA,EMISION,PA,TV,TIPO BURSATILIDAD
2015-12-17 00:00:00,CREAL*,40.63,0,ME
2015-12-24 00:00:00,CREAL*,40.52,0,ME
2016-01-05 00:00:00,CREAL*,41.36,0,ME
2016-02-15 00:00:00,CREAL*,38.01,0,ME
2016-02-16 00:00:00,CREAL*,37.96,0,ME
2016-02-18 00:00:00,CREAL*,38.35,0,ME
2016-03-07 00:00:00,CREAL*,37.78,0,ME
2016-03-08 00:00:00,CREAL*,37.42,0,ME
2016-03-15 00:00:00,CREAL*,36,0,ME
2016-03-16 00:00:00,CREAL*,35.45,0,ME
2015-04-01 00:00:00,ICA*,12.33,1,AL
2015-04-23 00:00:00,ICA*,14.19,1,AL
2015-05-12 00:00:00,ICA*,13.98,1,AL
2015-05-20 00:00:00,ICA*,13.8,1,AL
2015-05-21 00:00:00,ICA*,13.93,1,AL
2015-05-22 00:00:00,ICA*,13.82,1,AL
2015-06-16 00:00:00,ICA*,12.21,1,AL
2015-07-03 00:00:00,ICA*,12.17,1,AL
2015-07-10 00:00:00,ICA*,12.03,1,AL
2015-07-24 00:00:00,ICA*,11.4,1,AL
2015-07-28 00:00:00,ICA*,10.91,1,AL
2015-09-17 00:00:00,ICA*,7.21,1,AL
2015-09-21 00:00:00,ICA*,7.83,1,AL
2015-10-05 00:00:00,ICA*,8.06,1,AL
2015-10-14 00:00:00,ICA*,8.68,1,AL
2015-10-21 00:00:00,ICA*,8.26,1,AL
2015-10-22 00:00:00,ICA*,8.23,1,AL
2015-11-13 00:00:00,ICA*,6.04,1,AL
2016-01-08 00:00:00,ICA*,3.18,1,AL
2016-02-24 00:00:00,ICA*,4.29,1,AL
2016-03-02 00:00:00,ICA*,4.39,1,AL
2016-03-18 00:00:00,ICA*,4.15,1,AL
2015-04-20 00:00:00,ICHB,64.24,1,AL
2015-04-23 00:00:00,ICHB,65.13,1,AL
2015-04-27 00:00:00,ICHB,64.44,1,AL
2015-05-04 00:00:00,ICHB,63.15,1,AL
2015-05-05 00:00:00,ICHB,63.45,1,AL
2015-05-11 00:00:00,ICHB,64.95,1,AL
2015-05-21 00:00:00,ICHB,64.81,1,AL
2015-05-27 00:00:00,ICHB,63.53,1,AL
2015-05-28 00:00:00,ICHB,64.97,1,AL
2015-06-09 00:00:00,ICHB,61.82,1,AL
2015-06-24 00:00:00,ICHB,61.47,1,AL
2015-06-29 00:00:00,ICHB,59.79,1,AL
2015-06-30 00:00:00,ICHB,59.59,1,AL
2015-07-01 00:00:00,ICHB,60.05,1,AL
2015-08-11 00:00:00,ICHB,58.71,1,AL
2015-08-12 00:00:00,ICHB,57.56,1,AL
2015-08-17 00:00:00,ICHB,58.33,1,AL
2015-09-09 00:00:00,ICHB,57.89,1,AL
2015-10-15 00:00:00,ICHB,63.12,1,AL
2015-11-10 00:00:00,ICHB,56.58,1,AL
2015-11-11 00:00:00,ICHB,58.08,1,AL
2015-12-01 00:00:00,ICHB,58.39,1,AL
2015-12-15 00:00:00,ICHB,54.89,1,AL
2015-12-16 00:00:00,ICHB,55.02,1,AL
2016-01-26 00:00:00,ICHB,54.09,1,AL
2016-02-10 00:00:00,ICHB,52.33,1,AL
2016-02-17 00:00:00,ICHB,55.78,1,AL
2016-03-01 00:00:00,ICHB,54.26,1,AL
2016-03-04 00:00:00,ICHB,55.96,1,AL
2016-03-09 00:00:00,ICHB,55.55,1,AL
2016-03-30 00:00:00,ICHB,62.41,1,AL
2015-04-07 00:00:00,IENOVA*,85.67,1,AL
2015-04-13 00:00:00,IENOVA*,82.23,1,AL
2015-04-21 00:00:00,IENOVA*,87.24,1,AL
